County,Year,SFunits,MFunits,TOTALunits,SF_Share,MF_Share,VeryLowunits,Lowunits,Moderateunits,AboveModerateunits,VeryLow_Share,Low_Share,Moderate_Share,AboveModerate_Share,Affordableunits,Affordableunits_Share,Source
Santa Clara County,1998,3911,3615,7526,0.5197,0.4803,,,,,,,,,,,CIRB
Solano County,1998,1768,436,2204,0.8022,0.1978,,,,,,,,,,,CIRB
Sonoma County,1998,1996,968,2964,0.6734,0.3266,,,,,,,,,,,CIRB
Alameda County,1999,3016,1495,4511,0.6686,0.3314,,,,,,,,,,,CIRB
Contra Costa County,1999,4081,508,4589,0.8893,0.1107,,,,,,,,,,,CIRB
Marin County,1999,699,37,736,0.9497,0.0503,,,,,,,,,,,CIRB
Napa County,1999,597,123,720,0.8292,0.1708,,,,,,,,,,,CIRB
San Francisco County,1999,114,3697,3811,0.0299,0.9701,,,,,,,,,,,CIRB
San Mateo County,1999,768,133,901,0.8524,0.1476,,,,,,,,,,,CIRB
Santa Clara County,1999,3333,3677,7010,0.4755,0.5245,,,,,,,,,,,CIRB
Solano County,1999,1430,523,1953,0.7322,0.2678,,,,,,,,,,,CIRB
Sonoma County,1999,2361,691,3052,0.7736,0.2264,,,,,,,,,,,CIRB
Alameda County,2000,2893,1315,4208,0.6875,0.3125,,,,,,,,,,,CIRB
Contra Costa County,2000,4344,1295,5639,0.7703,0.2297,,,,,,,,,,,CIRB
Marin County,2000,479,154,633,0.7567,0.2433,,,,,,,,,,,CIRB
Napa County,2000,531,4,535,0.9925,0.0075,,,,,,,,,,,CIRB
San Francisco County,2000,79,3286,3365,0.0235,0.9765,,,,,,,,,,,CIRB
San Mateo County,2000,846,1471,2317,0.3651,0.6349,,,,,,,,,,,CIRB
Santa Clara County,2000,2834,4220,7054,0.4018,0.5982,,,,,,,,,,,CIRB
Solano County,2000,2050,296,2346,0.8738,0.1262,,,,,,,,,,,CIRB
Sonoma County,2000,2034,521,2555,0.7961,0.2039,,,,,,,,,,,CIRB
Alameda County,2001,1613,1623,3236,0.4985,0.5015,,,,,,,,,,,CIRB
Contra Costa County,2001,4152,984,5136,0.8084,0.1916,,,,,,,,,,,CIRB
Marin County,2001,188,187,375,0.5013,0.4987,,,,,,,,,,,CIRB
Napa County,2001,773,134,907,0.8523,0.1477,,,,,,,,,,,CIRB
San Francisco County,2001,96,1723,1819,0.0528,0.9472,,,,,,,,,,,CIRB
San Mateo County,2001,722,719,1441,0.501,0.499,,,,,,,,,,,CIRB
Santa Clara County,2001,1641,4319,5960,0.2753,0.7247,,,,,,,,,,,CIRB
Solano County,2001,1821,739,2560,0.7113,0.2887,,,,,,,,,,,CIRB
Sonoma County,2001,1646,933,2579,0.6382,0.3618,,,,,,,,,,,CIRB
Alameda County,2002,2306,1266,3572,0.6456,0.3544,,,,,,,,,,,CIRB
